Algorithms: Standard Zielonka / Warsaw QPT Zielonka / Liverpool QPT Zielonka
Runnning time is in seconds
For Zielonka algorithms we also output the number of iterations
family-rr-14.pg;0.003045;7443;0.013876;35892;0.005882;12978
family-rr-15.pg;0.005097;12478;0.018475;47519;0.006628;16726
family-rr-16.pg;0.007170;20425;0.022248;66940;0.013904;34863
family-rr-17.pg;0.012280;33920;0.063340;187162;0.018165;44297
family-rr-18.pg;0.020299;55360;0.082911;240851;0.028560;69544
family-rr-19.pg;0.032966;91320;0.128988;360574;0.035714;87129
family-rr-20.pg;0.053909;148718;0.167864;450414;0.053891;122250
family-rr-21.pg;0.085722;244125;0.208824;583870;0.063611;151200
family-rr-22.pg;0.144484;396928;0.259593;712568;0.084685;199717
family-rr-23.pg;0.234798;649235;0.323291;875013;0.106051;244089
family-rr-24.pg;0.367929;1054343;0.396941;1048657;0.135005;310410
family-rr-25.pg;0.599662;1719951;0.482932;1253885;0.164932;375239
family-rr-26.pg;1.067854;2790665;0.613816;1480426;0.217270;464796
family-rr-27.pg;1.728129;4543372;0.757370;1739146;0.270151;556240
family-rr-28.pg;2.827750;7366791;0.930231;2033924;0.344423;675637
family-rr-29.pg;4.201651;11975686;1.023668;2364630;0.393880;801132
family-rr-30.pg;7.424322;19407998;1.166095;2736310;0.446551;958303
family-rr-31.pg;11.269023;31514742;1.413770;3153633;0.556453;1126728
family-rr-32.pg;18.204249;51053796;2.097040;4907761;1.157218;2289850
family-rr-33.pg;32.673431;82830667;5.953692;12768301;1.424739;2680206
family-rr-34.pg;52.081104;134146590;6.983009;14685626;2.384185;4106035
family-rr-35.pg;84.278015;217501529;9.481616;20622679;2.352784;4783986
family-rr-36.pg;126.200736;352172389;11.531060;23583898;3.577530;6543808
family-rr-37.pg;200.707213;570722477;12.915667;29116749;3.738557;7589379
family-rr-38.pg;350.777914;923943423;14.920546;33140394;4.892386;9769514
family-rr-39.pg;527.274291;1496763034;19.475866;39014453;5.685351;11279231
family-rr-40.pg;>900;-;20.382909;44212720;7.058594;13983303
family-tc-1.pg;0.000019;12;0.000020;14;0.000023;25
family-tc-2.pg;0.000035;36;0.000080;176;0.000139;388
family-tc-3.pg;0.000074;86;0.000345;898;0.001037;2184
family-tc-4.pg;0.000158;188;0.001341;3371;0.005286;15529
family-tc-5.pg;0.000332;394;0.007532;19273;0.024525;68806
family-tc-6.pg;0.000704;808;0.034708;82973;0.090402;240525
family-tc-7.pg;0.001513;1638;0.113186;268610;0.316271;795137
family-tc-8.pg;0.003192;3300;0.327056;730576;0.938506;2158482
family-tc-9.pg;0.006802;6626;1.504534;3139757;4.498376;9385596
family-tc-10.pg;0.015365;13280;4.094051;8025217;13.268510;25917636
family-tc-11.pg;0.033041;26590;9.301187;18927266;29.379256;56803861
family-tc-12.pg;0.068371;53212;20.135254;39982040;54.536176;105410191
family-tc-13.pg;0.136550;106458;102.804152;179656417;202.793353;372272415
family-tc-14.pg;0.292646;212952;213.519355;359416374;506.477888;847882842
family-tc-15.pg;0.607443;425942;409.914010;673394046;>900;-
family-tc-16.pg;1.322821;851924;779.577441;1220819542;>900;-
family-tc-17.pg;2.803880;1703890;>900;-;>900;-
family-tc-18.pg;5.855215;3407824;>900;-;>900;-
family-tcp-1.pg;0.000017;8;0.000017;8;0.000025;32
family-tcp-2.pg;0.000043;64;0.000093;224;0.000166;483
family-tcp-3.pg;0.000128;209;0.000658;2060;0.001248;3711
family-tcp-4.pg;0.000409;578;0.005924;18148;0.015435;44806
family-tcp-5.pg;0.001027;1459;0.032413;93316;0.066523;197540
family-tcp-6.pg;0.002562;3484;0.221885;624927;0.351516;997006
family-tcp-7.pg;0.006117;8029;0.761755;1966890;1.073176;2710304
family-tcp-8.pg;0.016192;18070;5.714919;13565384;8.138724;19071318
family-tcp-9.pg;0.039822;40007;16.453122;39061715;30.436274;66340226
family-tcp-10.pg;0.093863;87536;47.535696;97277114;81.214548;163363382
family-tcp-11.pg;0.211022;189841;280.426828;548806454;226.622385;462550620
family-tcp-12.pg;0.450667;408874;667.163399;1223225715;823.800924;1499904978
family-tcp-13.pg;1.056821;875707;>900;-;>900;-
family-tcp-14.pg;2.388584;1866820;>900;-;>900;-
family-tcp-15.pg;5.375511;3963845;>900;-;>900;-
family-tcp-16.pg;11.869088;8387390;>900;-;>900;-
family-tcp-17.pg;25.555585;17693359;>900;-;>900;-
family-tcp-18.pg;56.337853;37222936;>900;-;>900;-
random-highdegree-200-21.pg;0.000372;5;0.000371;5;0.002126;45
random-highdegree-200-22.pg;0.000564;12;0.000563;12;0.050254;1391
random-highdegree-200-23.pg;0.000349;7;0.000396;7;0.002475;72
random-highdegree-200-24.pg;0.000278;5;0.000280;5;0.001506;40
random-highdegree-200-25.pg;0.000500;11;0.000550;11;0.023799;677
random-highdegree-200-26.pg;0.000286;5;0.000288;5;0.001611;45
random-highdegree-200-27.pg;0.000186;2;0.000189;2;0.000599;13
random-highdegree-200-28.pg;0.000247;2;0.000199;2;0.000627;13
random-highdegree-200-29.pg;0.000316;7;0.000316;7;0.004147;147
random-highdegree-200-30.pg;0.000410;8;0.000409;8;0.010431;299
random-highdegree-200-31.pg;0.000237;3;0.000294;3;0.000611;13
random-highdegree-200-32.pg;0.000342;6;0.000341;6;0.004342;117
